,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
560,2017-07-14,2285.1338512635293,1559.5127688944065,4380.334145529516,2285.1338512635293,2285.1338512635293,703.6315166092955,703.6315166092955,703.6315166092955,-3.4142217420444934,-3.4142217420444934,-3.4142217420444934,707.04573835134,707.04573835134,707.04573835134,0.0,0.0,0.0,2988.7653678728248
561,2017-07-15,2292.5392807043336,1684.8222011225541,4563.409321080321,2292.5392807043336,2292.5392807043336,733.4152415161659,733.4152415161659,733.4152415161659,15.189990625967203,15.189990625967203,15.189990625967203,718.2252508901987,718.2252508901987,718.2252508901987,0.0,0.0,0.0,3025.9545222204997
562,2017-07-16,2299.944710145138,1535.5875939146968,4343.581515362317,2299.944710145138,2299.944710145138,721.9961751107301,721.9961751107301,721.9961751107301,-9.00819842044468,-9.00819842044468,-9.00819842044468,731.0043735311748,731.0043735311748,731.0043735311748,0.0,0.0,0.0,3021.940885255868
563,2017-07-17,2307.3501395859425,1783.668481429932,4471.46999060929,2307.3501395859425,2307.3501395859425,763.922939814638,763.922939814638,763.922939814638,18.540795067009377,18.540795067009377,18.540795067009377,745.3821447476286,745.3821447476286,745.3821447476286,0.0,0.0,0.0,3071.2730794005806
564,2017-07-18,2314.7555690267463,1663.18921287585,4390.901942601647,2314.7555690267463,2314.7555690267463,757.1526131688222,757.1526131688222,757.1526131688222,-4.189439791116206,-4.189439791116206,-4.189439791116206,761.3420529599385,761.3420529599385,761.3420529599385,0.0,0.0,0.0,3071.9081821955688
565,2017-07-19,2322.1609984675506,1656.5438818336488,4451.429662507641,2322.1609984675506,2322.1609984675506,780.1412026964267,780.1412026964267,780.1412026964267,1.287160027649247,1.287160027649247,1.287160027649247,778.8540426687774,778.8540426687774,778.8540426687774,0.0,0.0,0.0,3102.3022011639773
566,2017-07-20,2329.5664279083553,1758.5847016736977,4430.232506968186,2329.5664279083553,2329.5664279083553,779.4702385525434,779.4702385525434,779.4702385525434,-18.406085766980958,-18.406085766980958,-18.406085766980958,797.8763243195243,797.8763243195243,797.8763243195243,0.0,0.0,0.0,3109.0366664608987
567,2017-07-21,2336.9718573491596,1662.476356403875,4468.850501711811,2336.9718573491596,2336.9718573491596,814.9426748635973,814.9426748635973,814.9426748635973,-3.414221742053422,-3.414221742053422,-3.414221742053422,818.3568966056507,818.3568966056507,818.3568966056507,0.0,0.0,0.0,3151.914532212757
568,2017-07-22,2344.377286789964,1795.9562579776396,4673.798342491135,2344.377286789964,2344.377286789964,855.4247009187329,855.4247009187329,855.4247009187329,15.189990625983581,15.189990625983581,15.189990625983581,840.2347102927494,840.2347102927494,840.2347102927494,0.0,0.0,0.0,3199.8019877086967
569,2017-07-23,2351.782716230768,1724.8703026751627,4604.781840211516,2351.782716230768,2351.782716230768,854.4322272374562,854.4322272374562,854.4322272374562,-9.008198420501426,-9.008198420501426,-9.008198420501426,863.4404256579577,863.4404256579577,863.4404256579577,0.0,0.0,0.0,3206.214943468224
570,2017-07-24,2359.1881456715723,1911.4416103271076,4657.43742000887,2359.1881456715723,2359.1881456715723,906.4375354078687,906.4375354078687,906.4375354078687,18.54079506700413,18.54079506700413,18.54079506700413,887.8967403408644,887.8967403408644,887.8967403408644,0.0,0.0,0.0,3265.625681079441
571,2017-07-25,2366.5935751123766,1853.4656640113285,4674.960872726757,2366.5935751123766,2366.5935751123766,909.328850000398,909.328850000398,909.328850000398,-4.189439791150671,-4.189439791150671,-4.189439791150671,913.5182897915488,913.5182897915488,913.5182897915488,0.0,0.0,0.0,3275.9224251127744
572,2017-07-26,2373.9990045531813,1969.1029886703889,4715.532389495715,2373.9990045531813,2373.9990045531813,941.4983075781305,941.4983075781305,941.4983075781305,1.2871600276199457,1.2871600276199457,1.2871600276199457,940.2111475505105,940.2111475505105,940.2111475505105,0.0,0.0,0.0,3315.497312131312
573,2017-07-27,2381.4044339939855,1801.8984986491148,4761.330757749177,2381.4044339939855,2381.4044339939855,949.4658905357738,949.4658905357738,949.4658905357738,-18.406085767047845,-18.406085767047845,-18.406085767047845,967.8719763028216,967.8719763028216,967.8719763028216,0.0,0.0,0.0,3330.8703245297593
574,2017-07-28,2388.8098634347893,1980.0902459749432,4878.937363681486,2388.8098634347893,2388.8098634347893,992.9726803119686,992.9726803119686,992.9726803119686,-3.414221741969247,-3.414221741969247,-3.414221741969247,996.3869020539378,996.3869020539378,996.3869020539378,0.0,0.0,0.0,3381.782543746758
575,2017-07-29,2396.215292875594,1880.0092876356944,4801.803077666837,2396.215292875594,2396.215292875594,1040.8201926464958,1040.8201926464958,1040.8201926464958,15.189990626002624,15.189990626002624,15.189990626002624,1025.6302020204932,1025.6302020204932,1025.6302020204932,0.0,0.0,0.0,3437.03548552209
576,2017-07-30,2403.6207223163983,2055.006574706124,4927.622411247155,2403.6207223163983,2403.6207223163983,1046.4547127379294,1046.4547127379294,1046.4547127379294,-9.008198420462929,-9.008198420462929,-9.008198420462929,1055.4629111583922,1055.4629111583922,1055.4629111583922,0.0,0.0,0.0,3450.0754350543275
577,2017-07-31,2411.0261517572026,2187.825746156392,5004.514293930394,2411.0261517572026,2411.0261517572026,1104.2722571367633,1104.2722571367633,1104.2722571367633,18.540795067006876,18.540795067006876,18.540795067006876,1085.7314620697566,1085.7314620697566,1085.7314620697566,0.0,0.0,0.0,3515.2984088939656
578,2017-08-01,2418.4315811980073,2067.05117865245,4820.346204040786,2418.4315811980073,2418.4315811980073,1112.0770381032432,1112.0770381032432,1112.0770381032432,-4.189439791147139,-4.189439791147139,-4.189439791147139,1116.2664778943904,1116.2664778943904,1116.2664778943904,0.0,0.0,0.0,3530.5086193012503
579,2017-08-02,2425.837010638811,2173.7437166239406,4945.837358165323,2425.837010638811,2425.837010638811,1148.1689974796964,1148.1689974796964,1148.1689974796964,1.2871600275906456,1.2871600275906456,1.2871600275906456,1146.8818374521056,1146.8818374521056,1146.8818374521056,0.0,0.0,0.0,3574.0060081185075
580,2017-08-03,2433.242440079616,2239.9868836533633,5021.698073028636,2433.242440079616,2433.242440079616,1158.9680405365432,1158.9680405365432,1158.9680405365432,-18.40608576686117,-18.40608576686117,-18.40608576686117,1177.3741263034042,1177.3741263034042,1177.3741263034042,0.0,0.0,0.0,3592.2104806161587
